12207187,"4300003641,110578597,4300003626,4300003615,4300003614,3782881039,110578598,4300003599,4300003596,4294582431,4300003582,3782881038,4300003537,4300003533,4300003469,110578599,4294582325,3782881036,3782881037,110578600,3782881035,110578444"
31062953,"6521315257,6521021284,1759733799,1007923390,3502626885,4797076555,1759733787,1007923397,6518903377,1334101590,6157808493,1333730435,6157808489,4797759987,6521099205,1007923408,1036552727,1759733772,6577702378,1036552183,6157808486,6514277309,1333730465,6514277310,1334101496,6514279748,6521099203,345351408,1759885475,6521099194,4797760739,6521084588,4792330102,6521315258,4792330101,6235808078,1334352277,6521315261,4779885789,6235808079,6521315263,6521358791,4797760746,1759885450,6524641172,6521705572,6521757722,6514049343,6514049345,6521757718,6150950402,6521757717,6157962911,6157962900,6514066707,6521745159,6521745157,6514066706,6157962760,6157962758,6157962753,6157962739,345351427,6514066705,6514066704,345351431,6514066702,6514066701,6158027327,6514066698,6538608328,1759885399"
31063749,"345362354,345362363,6525633571,6525633575,345362378,6525633576,2092582370,6158064930,345362388,6525633578,345362444,1758586663,6525633579,5588953584,6525633580,345362448,6525633581,6525639785,1758586671,6525639790,1758586674,5588953585,1758586675,6525592456,345362457"
31064004,"1841070595,1841070594,5026642759,1841070596,5026642748,1841070593,1841070592,345366118,6157915968,6157915976,6157916296,6157916293,1884243557,4740918579,345366121,4456929626,345366122,4456929623,345366124,1884243727,1884243730,345366125,5023298362,1884243746,5023298349,1884243752,345366128,345366129,5023298355,5023298340,1884243836,5023298391,5023298386,1884243844,5023298388,5023298387,5023298028,345366133,5023296104,5023298060,1884243846,2174824851,345366135,1884243848,1884243849,2271214774,1884243851,345366136,6157729190,6157729199,345366138,2170728706,2170728696,345366140"
31094748,"345550902,6252314892,345550903,345550904,3768380664,1334132753"
33263790,"377671538,4281258492,3768473973,5699483376,3768473972,377671540,377671541,3768473971,3768473969,3768473970,377671542,377671543,3768473968,377671544,377671545"
33264418,"6511820377,2289123210,5577369706,5577369705,377686914,2289123208,377686915,377686916,5577369704,5577369703,2236774375,5577369702,377686917,2289103452,2236774395,5577369701,2289103456,377686918,2236774390,2289103467"
35950831,"420248874,6542880990,6542846309,420248873,6542846310,420248778,5922537294,1333379875,420248581,6542516474,420249058,6542516473,6528693427,420248652,420248876"
35950832,"6060078876,6060078878,1333303487,1333303390,1333303478,1333303503,3761464384,1333303448,3761464376,1333303463,1333303483"
35950835,"420249495,1333698816,6521411393,1333698755,6521411394,6513665111,420248597,6513665110,1333698794,420248816,6518313369,420249262,6518313367,1333315257,6513728750,420248971"
35950845,"420249416,1333361917"
35950847,"3513926570,6522055532,420249198,3761464390,1333344728,3765458409,3765458421,6513920282,420249005"
35950848,"420249529,6525007371,6525007370,6525007372,6045270197,6525007367,6525007374,6525007363,3757426807,6525007360,6336774049,6525007359,6525007358,3757414097,6525007357,6525007356,420249421"
35950850,"420249198,6545861695,420248741,6545745437,6547876203,420248739,3078041905,3078041906,6040587252,6545745440,6547876207,3078041907,6040587267,3078041908,3761464401,6545721334,6545721337,6547991026,1333344701,6545721776,3761464413,420248762,6545437056,1334203540,6545288728,6547849926,6545288731,3757267575,6040907839,3761464411,6547849928,1333394797,3761464403,6545266304,6530363599,420248763"
35950853,"1334305797,6512193108,420248380,3077384387,420248385,3077384389,3077384390,6530582109"
35950861,"420248970,6509898606,6525445962,6511464166,420248648"
35950864,"420249012,6561123393,5413973109,5413973117,5413973629,3761463616,5413973623,6334746080,4080942996,6040835621,6040776233,6040835637,6040776245,6040776237,6040776254,6038434655,4080942587,5413973622,6524293834,420249080,6524293836,1333361902,6524293832,1333361959,6524293831,6524293830,1333361936,6038434639,6038434649,6038335497,6045746975,3787112200,3514391353,1333361967,1333361887,1333361939,6524645337,6334694287,1333361918,6054002239,3514391354"
35950868,"1333361894,6528743345,6528893308,6528893305,1333361943,6528743340,1333361921,3760216252,6528893310,1333361898,1333361990,5424254827,6529275676,1333361941,6529275672,1333379818,6529275673,1333361885,3760216254,420248996,5424254825,5424254823,1334172068,6038605344,5413973631,1334172101,3760220258,3757626562,420248999"
35950870,"1333730263,6507006139,6507006137"
35950875,"1333698950,6555742704,1334202642,1333303513"
35950876,"420248596,6511504204,6509923795,420249236"
35950882,"420249053,2996011839,6548145647,6047891336,1334172325,5423818215,5413655118,1334172329,420248793,5403622023,3757626561,6334845028,420248585,5417631989,6553999744,5403622027,3757626563,420248999"
35950883,"1333341472,6511836342,3514086536,3763846115,6543286883,6543252709,420248612,6543251876,3763860006,3763860010,6038469978,1333341510,6543117259,1333303513"
35950887,"420249128,6509866282,6525489373,420248767"
35950889,"1334202762,6530521565,3756982234,6532219884,6532237888,420249116,6532237886,6532237889,6040788863,6041178095,6041178102,6532711751,1334202695,6040602350,6040602362,6040602352,6532711748,1334208739,6532711745,6532758939,6532758937,6530448269,6041178090,6532711744,6530448257,5578866882,6041178086"
35950897,"420248911,6525586824,2990909243,420248909,3070108200,6530556549,420248914,3540404858,6525309544,1334172029,6525586826,1333303407,3070108198,3068684724,3070108197,2093859483,3070108196,6047709311,3070108195,6525096654,1333394792,6525094807,6525094808,1334170003,6525094813,3070253482,3068684725,3070108192,3070108190,6525075795,1333303488,6525075799,6334805176,3068684728,6334805179,6040965312,6532141634"
35950899,"420248312,1038395031,3068686937,3068686938,2990955339,3068684731,420248310,3068695647,420248308,3068684729,2093859464,3068684730,3068684732,420248892,420248298,3068686933,3070253453,420248323,2623083084,1038395056,3068686934,6041152018,3068686935,6041152019,6041152017,420248313,3068686936,420248311,420248312"
35950901,"2988720158,3050564221,420249442,420249428,3050564220,1333236012,6148932983,3050564219,420249438,6148933187,420249440,6506988635"
